Job_title,Company_name,Job_location,Salary,Job_time
Senior AI-Focused Full Stack Developer (Python/React) – Remote,Vedh Tech LLC,Remote,Rs. 80000 - 100000 Per Month,Not-provided
Vacancy Announcement: Lecturer in Computer Science and Information Technology,Nepalgunj Campus of Managment & Technology,Nepalgunj,Not Provided / Negotiable,Not-provided
Paid Internship / Jobs,Global Venture Foundry,Not Provided,Based On Experience,Not-provided
Senior Software Engineer,Truckit.net Pty Ltd,"Kathmandu, Remote",Based On Experience,Not-provided
IT Coordinator,Kopila Valley School Pvt Ltd,Surkhet,Not Provided / Negotiable,Not-provided
