Job_title,Company_name,Required_time_experience,Salary,Job_location,Skill
Azure Data Engineer - Walk in Drive,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Azure Data Factory, Azure Databricks, Python, SQL, Factory, Data, Drives, Microsoft Azure"
Snowflake DE_4+ years_HCL,HCLTech,4-9 Yrs,10-20 Lacs PA,"Hyderabad, Pune, Bengaluru","snowflake, DBT, sql, kafka"
React with next js developer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Kolkata, Pune, Bengaluru","React.Js, Nextjs, Typescript, Javascript, Development"
GN-IC-Software & Platforms-Data Center -Manager,Accenture,5-10 Yrs,Not Provided,Mumbai,"Compliance, Change Management, Finance, Ai, Telecommunication, Upskilling, Tableau, Financial Modeling"
"Java Full Stack Developer (Java, Angular) - Bangalore/ Mumbai/ Pune",Capgemini,5-10 Yrs,Not Provided,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Java, Java Fullstack, Angular, Angularjs, angular js, Full Stack, Spring Boot, J2Ee"
Oracle Cloud technical-(OIC)-Senior,Randstad,5-10 Yrs,Not Provided,"Hybrid - Noida, Pune, Bengaluru","Oic, Bip, SQL, Vbcs, Rest Soap, Fbdi, ERP, Oracle Integration Cloud"
Java Agentic AI/GenAI Professionals,Capgemini,8-13 Yrs,Not Provided,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Agentic Ai, GenAI, Java, Copilot, MCP, Generative Ai, AI, Spring Boot"
HCL DRYiCE Product _ Sr. NodeJS Full Stack Developer,HCLTech,4-9 Yrs,15-20 Lacs PA,"Hybrid - Noida, Pune, Bengaluru","Vue.Js, Full Stack Developer, Javascript, NodeJS Developer, React.Js, Fullstack Development, Node.Js, Full Stack"
"Sr. Analyst, Supply Chain Development",A.P. Moller Maersk,5-10 Yrs,Not Provided,Navi Mumbai,"Supply chain, Drilling, global operations, Solution sales, Quantitative research, Analytical, Employee engagement, Visio"
Python Developer,Tata Consultancy Services,4-6 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Pandas, Development, Numpy, Python, Pytest, Python Development"
Automation Tester,Tata Consultancy Services,6-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Automation Testing, Selenium, Software testing, Automation"
Automation Tester,Tata Consultancy Services,4-6 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Robot Framework, Selenium, Python, SQL, Framework, Automation testing, Software testing, Automation"
ServiceNow - ITOM - Developer,Tata Consultancy Services,8-10 Yrs,Not Provided,"Pune, Bengaluru","Servicenow, Event Management, Itom, Service Mapping, Servicenow Development, Events, Development, Management"
Java Technical Lead,Tata Consultancy Services,8-13 Yrs,Not Provided,"Hyderabad, Pune, Chennai","java, Technical Leadership, Spring Boot, Boot, Technical, Leadership, Spring"
Automation Developer,Tata Consultancy Services,4-7 Yrs,Not Provided,"Pune, Chennai, Bengaluru","C#, Automation, Playwright, .Net, Automation Engineering, Development, Engineering"
Hiring Adobe Experience Platform(AEP) & Adobe Journey Optimizer (AJO),Cognizant,3-5 Yrs,Not Provided,"Pune, Chennai, Bengaluru","AJO, Adobe Experience Platform, Aep, Adobe Journey Optimizer, Adobe, Hiring"
"Azure data Engineer, Azure DevOps",Tata Consultancy Services,5-10 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Azure, Azure Data Engineering, Azure Devops, Microsoft Azure, Engineering, Devops, Data Engineering, Azure Data Factory"
Azure Data Engineer- Walk in Drive,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Pyspark, Azure Databricks, Python, Azure Data Factory, Data, Drives, Microsoft Azure"
Java Developer_D,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java Spring Boot, Spring Boot, J2ee, Microservices, Java 8, JEE, Backend Development, Backend"
Automation Architect,Tata Consultancy Services,8-12 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Rest Api Testing, Appium, Selenium, Software testing, Architecture, Rest, API Testing"
Data Engineer-Data Modeling,IBM,6-8 Yrs,Not Provided,"Pune, Bangalore Rural, Chennai","modeling, inform, data, data warehousing, dimensional modeling, dbms, data integrity, mobile device management"
Hiring Adobe Experience Platform(AEP) & Adobe Journey Optimizer (AJO),Cognizant,9-12 Yrs,Not Provided,"Pune, Chennai, Bengaluru","AJO, Adobe Experience Platform, Aep, Adobe Journey Optimizer, Adobe, Hiring"
Hiring Adobe Experience Platform(AEP) & Adobe Journey Optimizer (AJO),Cognizant,5-10 Yrs,Not Provided,"Pune, Chennai, Bengaluru","AJO, Adobe Experience Platform, Aep, Adobe Journey Optimizer, Hiring, Adobe"
Angular Lead,Tata Consultancy Services,8-13 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Angular, Angularjs, Angular Development, Angular Framework, Framework, Development"
Dot Net Azure Developer,Tata Consultancy Services,4-9 Yrs,Not Provided,"Hyderabad, Pune, Chennai","C#, .Net Core, Dotnet Azure, ASP.Net, Microsoft Azure, Core, .Net, DoT"
.Net with Azure Developer- Walk in Interview,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","C#, .Net Core, Azure Devops, python, Microsoft Azure, Microsoft, Devops, Interviewing"
Java Developer With NodeJS/ReactJS,Tata Consultancy Services,6-8 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Spring Boot, Node.Js, React.Js, Microservices, Boot, Development, Spring"
Sap Native Hana Consultant,Tata Consultancy Services,5-10 Yrs,Not Provided,"Hyderabad, Pune, Delhi / NCR","Sap Hana Modelling, Sap Native Hana, PLSQL, SQL, Native Hana Development, Hana Modelling, Modeling, Hadoop Development"
Salesforce (Vlocity / Omnistudio )Developer,Wipro,4-9 Yrs,Not Provided,"Hybrid - Pune, Chennai, Bengaluru","LWC, Salesforce Lightning, Apex, Sales force development, Salesforce, Vlocity, Lightning, Development"
Tcs Virtual Interview: Sap Fiori Developer || 26th June ||,Tata Consultancy Services,5-10 Yrs,Not Provided,"Chennai, Bengaluru, Mumbai (All Areas)","Fiori Ui, Sapui5, CSS, SAP FIORI, ES6, JavaScript, HTML5, Databinding techniques"
Scrum Master,Tata Consultancy Services,10-15 Yrs,Not Provided,Pune,"Scrum master, Project Management, Agile, MES, SDLC, Manufacturing Execution Systems, Agile Methodology, .Net"
Java Spring Boot Developer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Mumbai, Chennai, Bengaluru","Java, Spring Boot, Microservices, Rest, API, Backend Development, Java Spring Boot, Java Development"
React JS Developer,Tata Consultancy Services,6-11 Yrs,Not Provided,"Hyderabad, Pune, Chennai","Reacts Js, Typescript, React Js Library, Javascript, React.Js, Js Libraries, Library, Development"
Java Full Stack Developer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Fullstack Development, Spring Boot, Angular"
Data Engineer,Tech Mahindra,4-7 Yrs,Not Provided,Hybrid - Pune,"Pyspark, Hive, SQL, Python, Data Engineering, Data"
.NET Azure Lead,Hexaware Technologies,12-16 Yrs,18-25 Lacs PA,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",".Net Core, Azure Services/ Functions, Azure Storage/ Azure Key Vault, Microservices, C#, Microsoft Azure, Azure Functions, Core"
Senior Python Full Stack Developer with Azure,Tata Consultancy Services,5-10 Yrs,Not Provided,"Mumbai, Hyderabad, Gurugram","Azure Devops, Python, SQL, Stack, Development, Full Stack, Devops, Microsoft Azure"
Azure cloud administration,eLabs Infotech,7-12 Yrs,Not Provided,"Bengaluru, Mumbai (All Areas)","Azure cloud administration, Windows Server, IT Infrastructure Support, Linux Server, IT Infrastructure Management, Azure Paas, Azure Infrastructure, Azure Iaas"
"Java Full Stack Developer (Java, React)",Capgemini,6-11 Yrs,Not Provided,"Hybrid - Bengaluru, Mumbai (All Areas)","Reacts Js, Full Stack, Java Fullstack, React, Java, Fullstack Development, Spring Boot, React.Js"
Trino Administrator/Trino/Starburst Platform Admin,Tata Consultancy Services,6-10 Yrs,Not Provided,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)","Trino Architecture, Trino, Monitoring & Troubleshooting, Performance Tuning, Linux/Cluster Admin, SQL  Troubleshooting, Security -LDAP/Kerberos, Automation"
GCP Data Engineer - BigQuery,Tata Consultancy Services,6-11 Yrs,Not Provided,"Hyderabad, Pune, Chennai","Data Engineering, GCP, Bigquery, Gcp Bigquery, Gcp Dataflow, Data, Engineering"
Sugar CRM Developer,Tata Consultancy Services,4-8 Yrs,Not Provided,"Hyderabad, Bengaluru, Mumbai (All Areas)","SugarCRM, Javascript, PLSQL, Development, Sugar, CRM"
3D Experience,Atos,3-5 Yrs,Not Provided,"Hybrid - Mumbai, Chennai, Bengaluru","3Dexperience, Customization, ENOVIA, 3D, Custom"
ServiceNow BCM Developer,Atos,5-10 Yrs,Not Provided,Pune,"Automation, Data migration, Manager Quality Assurance, ISO, CAD, Disaster recovery, Javascript, Workflow"
ServiceNow Business Analyst,Atos,8-13 Yrs,Not Provided,Pune,"Data analysis, Business Analyst, Production support, Data modeling, Business analysis, Defect tracking, Agile, microsoft"
ServiceNow TPRM Developer,Atos,5-8 Yrs,Not Provided,Pune,"CSR, Coding, Powershell, Diversity and Inclusion, ITSM, IT projects, Workflow, Application development"
ServiceNow VR Developer,Atos,5-8 Yrs,Not Provided,Pune,"CSR, Coding, Powershell, Diversity and Inclusion, ITSM, IT projects, Workflow, Application development"
S&CGN - Tech Strategy & Advisory - Cloud Architecture_AWS - Manager,Accenture,10-12 Yrs,Not Provided,Pune,"Architecture, S3, Rds, Compliance, Artificial Intelligence, Https, Cloud Architecture, Ai"
ServiceNow Developer - CRM and CSM,Atos,5-9 Yrs,Not Provided,Pune,"Automation, Coding, Enterprise applications, Debugging, Consulting, Javascript, Workflow, Unit testing"
Api Tester -pan india,Infosys,5-10 Yrs,Not Provided,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","SOAP UI, API Testing, Swagger, Postman, Rest Assured, API, UI, SOAP"
Analyst,eClerx,1-3 Yrs,Not Provided,Mumbai,"Computer science, Automation, Business analytics, Artificial Intelligence, Data quality, Data analytics, Analytics, Financial services"
Presales Consultant,Tech Mahindra,10-15 Yrs,15-27.5 Lacs PA,"Pune, Bengaluru, Mumbai (All Areas)","Ivanti ITSM, BMC Helix, Control-M, Dynatrace, Appdynamics, OpsRamp, ManageEngine OpManager, Presales"
MT New - Data Scientist - Associate Manager,Accenture,4-9 Yrs,Not Provided,Mumbai,"data scientist, hive, algorithms, python, scala, ai, media, machine learning"
AWS Migration Engineer,Tata Consultancy Services,6-8 Yrs,Not Provided,"Hyderabad, Chennai, Mumbai (All Areas)","Aws Migration, Aws Cloudformation, aws migration tools, Aws Infrastructure, Aws Networking, AWS, Infrastructure, Networking"
Azure Data Engineer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Chennai, Delhi / NCR, Mumbai (All Areas)","Pyspark, Data Engineering, Azure Databricks, Python, Microsoft Azure, Engineering, Azure Data Factory, Data"
Java Spring Boot Developer,Tata Consultancy Services,4-8 Yrs,Not Provided,"Bhubaneswar, Mumbai, Chennai","Java, Java Selenium, Microservices, Selenium, Boot, Development, Spring, Spring Boot"
SAP ABAP consultant-,Infosys,5-10 Yrs,Not Provided,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","SAP ABAP, Sap Abap Hana, Abap On Hana, Core Abap, SAP, Abap, Consulting, SAP Hana"
Sap SD Technical Consultant,Tata Consultancy Services,7-10 Yrs,Not Provided,"Pune, Bengaluru, Mumbai (All Areas)","Sap Implementation, Rollout, SD Module, Sap S4 Hana Sd, Sap Sales And Distribution, Sales, SAP Hana, SD"
MT New - Data Engineer - Consultant,Accenture,2-7 Yrs,Not Provided,Mumbai,"data engineer, storytelling, python, data analysis, data pipelines, power bi, media, digital advertising"
Grc Consultant,Atos,8-12 Yrs,Not Provided,"Bengaluru, Mumbai (All Areas)","PCI DSS, GRC, Implementation, IT Risk Management, Risk Governance, ISO 27001 2022, Risk Assessment, Nist"
Ignition Scada Engineer,Capgemini,2-5 Yrs,Not Provided,Navi Mumbai,"Sql, Opc, Configuration, Api Integration, Scripting, Sdlc, Rest, Development"
Analyst II Clinical Data Manager,Johnson & Johnson,2-7 Yrs,Not Provided,Mumbai,"Procurement, Statistical programming, CRO, Coding, GCP, Clinical trials, Data collection, Healthcare"
Senior Data Scientist,Fractal Analytics,6-11 Yrs,Not Provided,Mumbai,"Computer science, Team management, Linux, RF, Image processing, Analytical, Consulting, Machine learning"
Experienced I Statistical Programmer,Johnson & Johnson,2-7 Yrs,Not Provided,Mumbai,"Project management, Analytical, Pharma, Clinical trials, Clinical research, Healthcare, Principal, Monitoring"
AEM Full Stack Developer,eClerx,6-11 Yrs,Not Provided,"Chandigarh, Navi Mumbai, Pune","Java, CSS, Osgi, Javascript, sling, cloud, aem, HTML"
Senior SCADA Engineer,Capgemini,4-9 Yrs,Not Provided,Navi Mumbai,"plc, python, performance tuning, full stack development, scada, scripting, java, automation"
ASSOCIATE CONSULTANT - Mainframe Tester,Atos,3-6 Yrs,Not Provided,Navi Mumbai,"VSAM, Telecom, JCL, Db2, REXX, Cics, Diversity and Inclusion, Cobol"
ASSOCIATE CONSULTANT - Mainframe Tester,Atos,3-6 Yrs,Not Provided,Mumbai,"VSAM, Telecom, JCL, Db2, REXX, Cics, Diversity and Inclusion, Cobol"
Solution Architect,Capgemini,7-11 Yrs,Not Provided,"Mumbai, Pune, Bengaluru","Solution Architect, Sap Security, Sap, Compliance, Architecture, Risk Management, Process Control, Communication Skills"
