Job_title,Company_name,Required_time_experience,Salary,Job_location,Skill
Manual Testing - Payments,CGI,4-6 Yrs,Not Provided,"Hybrid - Chennai, Bengaluru","MT, Swift Messaging, Manual Testing, Payment Domain, Functional Testing, MX, Software testing, Payments"
Lead Software Engineer (IAM) - Java Full Stack,Wells Fargo,5-10 Yrs,Not Provided,Bengaluru,"compliance, kubernetes, restful, api gateway, risk mitigation, microservices, docker, java"
"Bio-challenge Tester - UIDAI, Bengaluru",National Institute for Smart Government (NISG),6-8 Yrs,10-20 Lacs PA,"Bangalore Rural, Bengaluru","Biometrics, Java, Selenium, Postman, Python, QA Analyst, Application Testing, Manual Testing"
IOS Senior Developer,Tata Consultancy Services,5-10 Yrs,Not Provided,Bengaluru,"Swift Ui, IOS, Devops, Development, Swift, IOS Development, UI, iPhone"
Application Tech Support Practitioner,Accenture,0-2 Yrs,Not Provided,Gurugram,"Customer Support, Technical Documentation, Communication Skills, Disaster Recovery, Troubleshooting, Recovery, Technical analysis, Documentation"
Network & Svcs Operation New Associate,Accenture,0-1 Yrs,Not Provided,Chennai,"compliance, operations, information technology, network operations, customer experience, Networking, Technology"
Web Development,Treo Infotech,0-3 Yrs,Not Provided,Vasai,"jQuery, XML, Wordpress, Web development, PHP, HTML, MVC, Open source"
Walk-in !!! Software Developer !!! Immediate Joiners !! 2025 & Earlier,Webilesk Infotech,Not Provided,Not Provided,Not Provided,"Javascript, PHP, SQL Database, Html/Css, CSS, CSS, Software, Cs"
Sr Application Developer,Birlasoft,7-8 Yrs,Not Provided,Noida,"Computer science, Maven, Hibernate, Production support, RDBMS, Postgresql, MySQL, Agile"
Executive Analyst,Crisil Analytices,Not Provided,Unpaid,Bengaluru,
Guidewire PC - QA,CGI,3-6 Yrs,Not Provided,Chennai,"Quality Assurance, Pp, Laptop, Java, Ab, Nylon, Networking, Server"
ServiceNow Integration & ITSM Expert,CGI,4-8 Yrs,Not Provided,Chennai,"Servicenow, Change Management, Java, Integration, Snow, Itsm, Cmdb, Html"
Power BI Developer (Mid-Level),Infosys,5-7 Yrs,Not Provided,Chennai,"bi developer, python, sap, azure sql, power bi, cloud platforms, business intelligence, data analyst"
Conga CPQ Developer - Sr. Analyst,Accenture,2-7 Yrs,Not Provided,Kochi,"application developer, visualforce, rest, erp, business processes, data migration, salesforce development, apex"
Conga CPQ Architect - CL7,Accenture,2-6 Yrs,Not Provided,Kochi,"compliance, erp, sap, oracle, solution architecture, stakeholder communication, sales, document generation"
S&C Global Network - AI - Public Services- Consultant,Accenture,5-10 Yrs,Not Provided,Gurugram,"ai, risk mitigation, sql, tensorflow, data science, spark, gcp, devops"
ACN GN - SONG - Service - Salesforce Platforms - Analyst,Accenture,1-6 Yrs,Not Provided,Gurugram,"salesforce, data analysis, c, issue resolution, customer service, business analysis, business analyst, sales"
Senior Data Engineer - Databricks (GDS Consulting),EY,2-6 Yrs,Not Provided,Kochi,"Data Engineer, Azure, Data Engineering, Data Pipelines, Compliance, Architecture, Elt, Devops"
Java Fullstack Lead Developer,Wipro,5-8 Yrs,Not Provided,Chennai,"Java, Maven, Kafka, Full Stack, Restful, Spring Boot, Digital Transformation, React"
AUTOMATION LEAD L1(CONTRACT),Wipro,5-8 Yrs,Not Provided,Chennai,"Automation, Business Strategy, Architecture, Network Operations, Scripting Languages, Programming, Digital Transformation, Devops"
Java Fullstack Lead Developer - ReactJS,Wipro,6-11 Yrs,Not Provided,Chennai,"Java, Maven, Architecture, Banking, Kafka, Full Stack, Spring Boot, Digital Transformation"
Java Fullstack Developer,Wipro,5-10 Yrs,Not Provided,Chennai,"Java, Maven, Architecture, Kafka, Full Stack, Spring Boot, Devops, Angular"
Senior Analyst,Wipro,4-9 Yrs,Not Provided,Gurugram,"Campaign Management, Css, Html5, Html, Templates, Email Marketing, Digital Transformation, Jquery"
Automation Test Analyst SDET(Java Selenium Testing),Wipro,6-11 Yrs,Not Provided,Chennai,"Selenium, Jenkins, Design, Java, Automation, Bdd, Api Testing, Github"
Java Fullstack Developer,Wipro,5-8 Yrs,Not Provided,Chennai,"Java, Maven, Kafka, Full Stack, Restful, Spring Boot, Angular, Microservices"
Playwright Test Lead,Wipro,5-8 Yrs,Not Provided,Chennai,"Selenium, Java, Automation, Test Automation, Oops, Regression, Programming, Version Control"
SDET - Automation Selenium Test Engineer,Wipro,5-8 Yrs,Not Provided,Chennai,"Selenium, Java, Maven, Automation, Alm, Test Automation, Github, Agile Methodologies"
Java Fullstack Developer,Wipro,6-11 Yrs,Not Provided,Chennai,"Java, Maven, Architecture, Kafka, Full Stack, Spring Boot, Devops, Angular"
Network Lead,Wipro,5-8 Yrs,Not Provided,Chennai,"Compliance, Architecture, Network Management, Network Security, Network Operations, Diagnostic, Technical Leadership, Digital Transformation"
TECHNO FUNCTIONAL CONSULTANT L1(CONTRACT),Wipro,5-8 Yrs,Not Provided,Visakhapatnam,"Java, Unix, Administration, Automation, Networking, Linux Networking, Digital Transformation, Vmware"
Java GCP Developer,Wipro,3-5 Yrs,Not Provided,Chennai,"Java, Gke, Api Gateway, Azure, Api Design, Github, Infrastructure As Code, Programming"
Senior Software Development Engineer in Test,Swiggy,4-6 Yrs,Not Provided,Bengaluru,"Maven, Automation, MySQL, Perl, HTTP, Selenium, Oracle, Analytics"
Senior Data Analyst,Capco,4-9 Yrs,Not Provided,Bengaluru,"Business analysis, Senior Data Analyst, Management consulting, Agile, Data quality, market data, Data Analyst, Financial services"
AI Engineer_Agentic AI,Capco,2-6 Yrs,Not Provided,Bengaluru,"Front end, Coding, Postgresql, MySQL, Schema, HTML, Monitoring, Financial services"
Senior Technical Lead- Digital Electronics Design,Thales,8-16 Yrs,Not Provided,Ghaziabad,"VHDL, Simulation, Digital design, Aerospace, FPGA, Ansys, Hardware design, Electronics"
"VCF Cloud Architect , VMware Cloud Foundation  - Tcs",Tata Consultancy Services,10-20 Yrs,Not Provided,Chennai,"VMware, Cloud Architecture, Vcf, Software Engineering, Engineering, Foundation, Core Foundation, VMware Cloud Foundation"
"VMware Subject Matter Expert (SME),vSphere/ESXi) and storage platforms",Tata Consultancy Services,8-13 Yrs,Not Provided,Chennai,"VMware, Subject Matter Expertise, SAN, Software Engineering, Storage Area Network, Networking, Subject, SME"
Network Admin - Tata consultancy Service,Tata Consultancy Services,8-11 Yrs,Not Provided,Bengaluru,"Networking, WAN, LAN, Consultancy, Administration, Network administration"
ML Engineer-Advanced Analytics,IBM,7-9 Yrs,Not Provided,Bangalore Rural,"algorithms, advanced analytics, software development, software, scikit-learn, distribution system, machine learning, career development"
AEP AJO Lead/Developer/ Senior Developer,Cognizant,7-12 Yrs,Not Provided,Bengaluru,"web services, sharepoint, aep, resolution, ajax, sourcing, jquery, sql"
Storage and Backup Administrator,PwC Service Delivery Center,5-10 Yrs,Not Provided,Bengaluru,"SAN, Backup Management, Troubleshooting, Storage Administration, Backup And Recovery, File Services, Storage migration, Storage tanks"
Storage and Backup Administrator,PwC Service Delivery Center,5-10 Yrs,Not Provided,Bengaluru,"SAN, Backup Management, Troubleshooting, Storage Administration, Backup And Recovery, File Services, Storage migration, Storage tanks"
Gloss Settlement Platform,Cognizant,10-17 Yrs,Not Provided,Chennai,"workflow, software testing, consulting, business analysis, solution delivery, capital market, process improvements, regulatory frameworks"
Wireman,Parle,1-4 Yrs,Not Provided,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","ncvt, iti electrical, cables, transformers, electrical engineering, house wiring, mcb, wiring"
Senior Machine Learning Engineer,Zemoso Technologies,5-10 Yrs,10-15 Lacs PA,"Hybrid - Hyderabad, Pune, Chennai, Bengaluru, Mumbai (All Areas)","cluster, Regression, Machine Learning, Python, Tensorflow, Cnn, Artificial Intelligence, Natural Language Processing"
Artificial Intelligence Engineer,Neptron Technologies,4-8 Yrs,Not Provided,"Mumbai, Hyderabad, Pune","Artificial Intelligence, Retrieval Augmented Generation, Machine Learning, Python, Generation, Intelligence, Machine"
Database Administrator Lead,XS Associates,12-17 Yrs,Not Provided,"Mumbai, Pune, Bengaluru","SQL DBA, DynamoDB, SQL Server, Performance Tuning, Database Administrator, AWS, Performance, SQL"
Business Analyst - General Insurance,Jero Technologies,5-10 Yrs,Not Provided,"Mumbai, Pune, Bengaluru","business analysis, insurance, domain knowledge, administration, business analyst, digital platforms, underwriting, solution design"
IT Asset - Senior Manager,Greenlife E Waste Recycling,10-15 Yrs,Not Provided,"Mumbai, Pune, Bengaluru","Asset Movement, qa, it asset management, IT Asset Manager, reconciliation, Asset management, IT Asset, Management"
IT Asset Senior Manager,Greenlife E Waste Recycling,10-15 Yrs,Not Provided,"Mumbai, Pune, Bengaluru","IT Asset, qa, it asset management, procurement, asset management, maintenance, reconciliation, physical verification"
Sdet Engineer,Altimetrik,5-10 Yrs,Not Provided,"Hybrid - Mumbai, Pune, Bengaluru","Karate, Cypress, Java, Api Automation, Rest Assured, API Testing, Automation Testing, Selenium"
QA Lead  : Playwright with Typescript,ORION SYSTEMS,8-12 Yrs,Not Provided,"Hybrid - Pune, Chennai, Mumbai (All Areas)","Typescript, Playwright, Automation Testing, QA Automation, Selenium, Quality assurance, Software testing, Automation"
Azure Data Engineer -Chennai/Bangalore / Pune/Hyderabad/ Mumbai!,India's Largest IT Service Provider,5-10 Yrs,Not Provided,"Pune, Chennai, Mumbai (All Areas)","Azure Data Engineer, Azure Blob, Pyspark, Azure, ADF, Azure Data Warehouse, Adl, Azure Databricks"
JIRA and Confluence Administrator,Leading Client,8-10 Yrs,Not Provided,"Mumbai, Pune, Chennai","JIRA, rest, confluence, configuring, c, issue resolution, service management, templates"
Dot Net Full Stack Developer,Leading Client,6-8 Yrs,Not Provided,"Mumbai, Pune, Chennai",".Net, github, api development, restful, html5, full stack developer, npm, bootstrap"
Senior Microsoft Fabric Platform Engineer,Bhuvitech Innovations,9-12 Yrs,30-40 Lacs PA,"Hybrid - Noida, Pune, Mumbai (All Areas)","Fabric Workspaces, Microsoft Fabric Administration, Fabric Tenant Settings, Fabric Capacity Management, Microsoft Fabric, Fabric Pipelines, ADF, Data Engineering"
Windchill Developer,Tata Consultancy Services,6-10 Yrs,Not Provided,"Pune, Chennai, Mumbai (All Areas)","Windchill Customization, Windchill, PLM, Alm, Windchill Developer, GIT, Windchill data model, Windchill Database"
Tutor - Digital Trust / ITES,BSI Group,4-9 Yrs,Not Provided,"Mumbai, New Delhi, Pune","tutor, risk management, service management, business continuity, information security, data privacy, it service management, Data"
Network Security Engineer,Zensar,7-12 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Networking, Routing, Switching, Firewall, f5, Wireless, Network Security, Palo Alto Firewall"
Business Technology Solutions Manager - Patient Strategy & Services,ZS,3-7 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Business Technology, Change Management, Compliance, Architecture, Team Leadership, Risk Management, Onboarding, Data Integration"
Lead AI Scientist,ZS,4-8 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Ai, Tensorflow, Generative Ai, Compliance, Use Cases, Ai Infrastructure, Programming, Research"
Associate - Platform Services,ZS,1-4 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Architecture, Azure, Hadoop, Data Management, Programming, Informatica, Ssis, Analytics"
Associate - Platform Services,ZS,1-4 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Coaching, Java, Azure, Waterfall, Scala, Hadoop, Informatica, Tableau"
Opening with Xoriant- .Net Developer,Xoriant,4-7 Yrs,Not Provided,"Hybrid - Pune, Gurugram, Bengaluru","C#, .Netcore, Winforms, WPF, .Net, Development, .Net Core"
Informatica MDM Developer,Capgemini,9-14 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Informatica Mdm, Informatica Master Data Management, Mdm Informatica, Development, Informatica, Data, Master data, Management"
Senior Data Engineer,Tech Mahindra,7-10 Yrs,Not Provided,"Noida, Pune, Bengaluru","Data Bricks, Snowflake, Airflow, Pyspark, Data Engineering, Lamda, Apache, ELT"
Azure + .NET Full Stack Developer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru",".Net Core, Web Api, SQL, Azure Functions, CICD, Azure Logic Apps, Angular, GIT"
Java Full Stack Developer,Infosys,7-12 Yrs,Not Provided,"Hybrid - Noida, Pune, Bengaluru","Reacts Js, Spring Boot, Angular, Java, Microservices, Javascript, Stack, Spring"
Test Lead,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,9-13 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Java, Test Automation Framework, Cd, Automation, Github, Software Testing, Ci/Cd, Communication Skills"
Sr. Tester,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,5-7 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Software Testing, Qa Testing, Regression Testing, Manual Testing, Test Case Execution, Functional Testing, Bug Reporting, Smoke Testing"
Service Desk Engineer,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,2-3 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Admin Studio, App-V, Orca, Configuration, Powershell, Deployment, Installshield, Microsoft Windows"
Sr. Data Center Operator,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,2-5 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Data Center, Networking, Routing, It Infrastructure, Bgp, Ccna, Vmware, Switching"
Sr. Manager - IT Infrastructure,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,5-9 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Communication Skills, Automation, L3, It Infrastructure, Linux System Administration, Troubleshooting, Jenkins, Rca"
Security Expert,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,3-7 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Siem Tools, Redhat Linux, Administration, Cyber Security, Sentinel, Soc, Ip, Information Security"
Lead SAP Consultant,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,7-11 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Sap, Procurement, Configuration, Estimation, Sap S Hana, Sap Fiori, Sap Consulting, System"
Sr. Developer,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,4-8 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Typescript, C#, Cd, Angularjs, Node.Js, Jquery, Angular, Engineering"
Sr. Developer,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,4-8 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Cloud, Unix, Tracking, Unix Shell Scripting, Troubleshooting, Devops, Microservices, Scripting"
Technical Expert,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,6-11 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Java, Hibernate, Css, Coordination, Architecture, Jsp, Cad, Html"
Sr. Developer,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,4-8 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Design, Ui/Ux, Ux Design, Center, Css, Ux Research, Adobe Xd, Web Technologies"
Sr. Developer,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,4-8 Yrs,Not Provided,"Pune, Gurugram, Bengaluru",".Net, C#, .Net Core, Design Patterns, Net Mvc, Postgresql, Html, Performance Tuning"
Sr. Developer,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,4-8 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Communication Skills, Integration, Server, Github, Servicenow, Generic, Cad Customization, Version Control"
Jr. Data Scientist,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,4-5 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Python, Predictive Modeling, Tensorflow, Artificial Intelligence, Natural Language Processing, Neural Networks, Machine Learning, Statistics"
Deputy Manager - IT Infra,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,8-13 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Active Directory, Basic, Networking, Windows Server Administration, Servicenow, Powershell, Dns, It Infrastructure"
Technical Expert,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,6-11 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Technical, Leadership, Problem Solving, Management, Maintenance, Troubleshooting, Electricals, Functional"
Sr. Technical Expert,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,9-13 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Sr, Windows Active Directory, System Administration, Process Improvement, Windows Troubleshooting, Management, Vmware, Project Management"
Sr. Developer,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,4-8 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Development, C#, Java, Heading, Sql Server, Quality Management, Process Improvement, Jquery"
Sas Developer,IBM,9-14 Yrs,20-27.5 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","Base SAS, AI Tool, SAS Programming, Advance Sas, ETL, Banking, SAS, Development"
Intune SME,Tata Consultancy Services,8-13 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Azure Active Directory, Mobile Device Management, MDM, Intune, SCCM, Mam, Directory, Management"
R Programmer,Capco,3-12 Yrs,15-35 Lacs PA,"Hyderabad, Pune, Bengaluru","Data Scientist, Statistical Analyses, Rstudio, R Shiny, tidyverse, R Program, Program, Statistics"
SAP BTP RAP + UI5 Lead SME,Tata Consultancy Services,4-9 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Rap, Sapui5, Sap Btp, Lead SME, SAP, UI, Saps, SME"
Capgemini Looking For Mlops Lead or Mlops Engineer For Pan India,Capgemini,8-12 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Mlops, Machine Learning, Python, Pan, Machine"
Servicenow CSA,Tata Consultancy Services,7-19 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","CSA, Servicenow, Itam, CMDB, Itom"
Mlops engineer,Capgemini,5-8 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","mlops, Machine Learning, Python, Machine"
Power platform Architect,Tata Consultancy Services,7-12 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Power Bi, Power Automate, Power Platform, Microsoft Powerapps, Powerapps, Microsoft, Bi, Architecture"
FlexPLM Developer,Tata Consultancy Services,4-9 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Flex Plm, Integration, Customizations, Legacy applications, Flex, Business Administration, Legacy, PLM"
Database Performance Engineer,Oracle,12-20 Yrs,Not Provided,"Noida, Pune, Bengaluru","ADDM, SQL Tuning, Performance engineer, AWR, SQL, identifying performance bottlenecks, memory overhead, SQL Queries"
Scala Developer,Infosys,2-7 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","SCALA, Spark, Akka Framework, Kafka, Play Framework, Akka, Framework, Development"
AWS Data Engineer,Infosys,2-7 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","ETL, AWS, Python, Etl Development, SQL, Development, Data"
Aws Architect,Tata Consultancy Services,12-20 Yrs,Not Provided,"Kolkata, Pune, Bengaluru","Aws Cloud, Aws Architecture, Terraform, AWS, Cloud, Architecture"
GCP Data Engineer,Infosys,2-7 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","GCP, Bigquery, Pubsub, GCS, Dataproc, Gen, Data, GC"
Python Machine Learning Engineer,Infosys,2-7 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Python, Ml, Aiml, Al, Machine Learning, Machine"
GCP Data Engineer,Infosys,2-7 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","GCP, Bigquery, Pubsub, GCS, Dataproc, Gen, Data, GC"
Python Machine Learning Engineer,Infosys,2-7 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Python, Ml, Aiml, Al, Machine Learning, Machine"
Databricks Data Engineer,Infosys,2-7 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Data Bricks, Pyspark, Data Engineering, Azure Databricks, Apache Spark, SQL, Microsoft Azure, Engineering"
Openings For Edifecs Developer - Work location PAN India,Cognizant,3-8 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Edifecs Specbuilder, Edifecs, Edifecs developer"
Windows and Cloud SME,Hitachi Digital Services,10-20 Yrs,15-27.5 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","Windows Server, Azure VM, Azure IaaS, PowerShell, Entra ID, DNS, Azure Networking, AKS"
Apigee,Tata Consultancy Services,4-9 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Api Management, Apigee Api Management, Apigee, Api Gateway, API, Gateways, Management"
Java Microservices + Azure,Tata Consultancy Services,6-8 Yrs,Not Provided,"Noida, Hyderabad, Pune","Java, Microservices, azure, Spring Boot, Boot, Spring, Microsoft Azure"
Platform Engineer - Virtual Interview - 10+years,Tata Consultancy Services,10-15 Yrs,Not Provided,"Kolkata, Pune, Bengaluru","Platform Development, Python, SQL, Development, Interviewing"
Here is an exciting opportunity For You at Capgemini - SFMC Developer,Capgemini,9-12 Yrs,10-20 Lacs PA,"Hyderabad, Pune, Bengaluru","Journey Builder, Salesforce Marketing Cloud, Sfmc, Ampscript, SQL, Email Studio, CSS, Exacttarget"
L2 Support Analyst,Ericsson,3-10 Yrs,10-20 Lacs PA,"Noida, Pune, Bengaluru","NetCracker, Oss / Bss, Charging System, NRM, Kubernetes, Charging, Operating systems, L2"
L2 Support Engineer,Ericsson,3-10 Yrs,10-20 Lacs PA,"Noida, Pune, Bengaluru","NetCracker, Bss, Telecom Operations and Management Solution, OCS, CSR-D, Solution management, Management, L2"
Mainframe Db2 System Programmer,Tech Mahindra,5-10 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","JCL, db2, Cobol, Cards, Mainframes, VSAM, Cics, Vision+"
Java Back End Developer,Hexaware Technologies,5-10 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Java, MySQL, Kafka, Spring Boot, Microservices, Hibernate, Ci/Cd, Backend"
Audio Video infrastructure Architect,Cognizant,9-14 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Audio Visual, Unified collobration, Crestron, AV infrastructure, Video Conferencing, Microsoft Teams, Audio, Microsoft"
Python Fullstack Developer,Infosys,10-18 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Django, Full Stack, Architectural Design, Python, Flask, Architecture, Pandas, Architecting"
Hiring Data Scientist,Tech Mahindra,7-12 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","NLP, Machine Learning, Python, genai, Computer Vision, Deep Learning, azure, Microsoft Azure"
Full Stack .Net Developer,Infosys,4-9 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru",".Net Core, .Net, React.Js, Angular, Core, Stack, Development, Full Stack"
Java Full Stack Lead,Infosys,3-8 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Java, Spring Boot, Angular, Stack, Spring, Full Stack, Boot"
Azure Cloud Network Engineer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Kolkata, Pune, Bengaluru","Azure Cloud, Azure Networking, Azure Cloud Network, Microsoft Azure, Networking, Cloud"
Sr. AI/ML Developer,Tata Consultancy Services,3-8 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Aiml, Artificial Intelligence, Retrieval Augmented Generation, Machine Learning, Python, Development, Intelligence, SR"
Sdet Automation Test Engineer,Capco,5-10 Yrs,15-30 Lacs PA,"Hyderabad, Pune, Bengaluru","Java, Api Automation, Performance Testing, SDET, API Testing, Spring Boot, Selenium, Spring"
Servicenow Secops,Tata Consultancy Services,4-19 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Secops, Servicenow, Security Operations, Operations, Security"
Ms Sql Database Administrator,Deloitte US-India Offices,2-4 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Database Administration, Ms Sql Database, Ms Sql Server Administration, SQL, SQL database, Microsoft, MS SQL Serve, Server administration"
Architect,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,5-9 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","compliance, manufacturing execution, rest, erp, sap, oracle, data management, solution architect"
Architect,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,10-15 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","plant maintenance, mm, automotive industry, sap, data management, field service management, service management, asset management"
Architect,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,12-17 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","debugging, enterprise software, github, confluence, software development, ai, bitbucket, angular"
Sr. Technical Expert,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,4-8 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","agile, containerization, cloud, emerging technologies, software development, it services, version control, design"
SAP Consultant,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,3-7 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","sap, technical support, it services, compliance, quality assurance, sap modules, sap technology, design"
Jr. Data Scientist,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","data scientist, emerging technologies, algorithms, python, data analysis, it services, machine learning, programming languages"
Sr. Developer,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,5-10 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","java, emerging technologies, python, software development, c, it services, version control, agile development"
Salesforce Marketing Cloud Developer - 4 To 12 years || Pan India,PwC India,4-9 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Journey Builder, Salesforce Marketing Cloud, SQL Queries, Ampscript, SSJS, Email Studio, Sfmc, Marketing Cloud"
Python Fullstack Developer,Infosys,6-11 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Design Patterns, Data Structures, Django, Python, Flask, CSS, System Design, OOPS"
Artificial Intelligence Engineer,Tata Consultancy Services,5-10 Yrs,Not Provided,"Kolkata, Hyderabad, Pune","Artificial Intelligence, Machine Learning, Python, Intelligence, Machine"
Teamcenter Development,Trigent Software.,6-11 Yrs,15-30 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","Teamcenter, BMIDE, Active Workspace, ITK, SOA, Development"
Java Full Stack Developer,Tata Consultancy Services,5-8 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Java, Java Fullstack, Vue.Js, Spring Boot, React.Js, Angular, Microservices, Stack"
API Testing Engineer,Infosys,3-8 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Rest Api Testing, API Testing, Rest Api Automation, Postman, Rest, Software testing, API, Automation"
Avaloq Developer,HCLTech,2-20 Yrs,16-35 Lacs PA,"Noida, Hyderabad, Pune","Avaloq developer, Avaloq, Avaloq Development, Development"
Azure Infra AI Operations & Platform Engineer,Bosch Global Software Technologies,7-12 Yrs,15-27.5 Lacs PA,"Hyderabad, Pune, Bengaluru","Cloud, AI, Azure Infra, Devops, Microsoft Azure, Operations, Artificial Intelligence, Infrastructure"
Sap Vistex Consultant,Deloitte US-India Offices,3-8 Yrs,7-17 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","Sap Vistex, SAP, Vistex, Saps, Consulting"
Mlops Engineer,eLabs Infotech,6-9 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Mlops Engineer, GCP, Vertex Ai, AWS, Python, Bash Scripting, Shell Scripting, Ci/Cd"
